,0,1,2,3,4,5,6,7,8,9,cluster
No. 1_L_1.5 _200 _02-18-2025/0078.png,15.16166664252859,2.3673716196444463,-4.943824653846519,-2.641528272869125,-1.4729447308450243,0.4776212734784906,-4.499286562758488,1.0065005422271307,-1.2848922220331536,-1.410964965595067,10
No. 1_L_1.5 _200 _02-18-2025/0079.png,15.165677734435585,2.339942599684365,-4.906979687477064,-2.548130217672377,-1.472548459383613,0.5213770786110121,-4.4933641929984685,1.023786933371448,-1.1873624250604784,-1.375620880322865,10
No. 1_L_1.5 _200 _02-18-2025/0080.png,15.098924209289136,2.354533229551004,-5.157492709586401,-2.55531115620833,-1.274604628965375,0.70082276857522,-4.476700332556479,0.9517524401470636,-1.234421447931651,-1.619618797406393,10
No. 1_L_1.5 _200 _02-18-2025/0081.png,15.153760906350566,2.347689240311228,-4.961587126240659,-2.5974143140714547,-1.2975546055289149,0.5123793173980804,-4.57669257482517,0.9979648670753596,-1.2180313593279375,-1.5450458450172946,10
No. 1_L_1.5 _200 _02-18-2025/0082.png,15.143043674576312,2.374208504765427,-5.035354787382999,-2.5385947157683315,-1.4153256379940062,0.4948966361055626,-4.5011526876775445,1.1271888617046342,-1.2523707553638992,-1.396097829142783,10
No. 1_L_1.5 _200 _02-18-2025/0083.png,15.142888147609696,2.356271199605418,-4.939842912785064,-2.530204663769567,-1.3155113887334444,0.5348449214456048,-4.465895252365742,0.8891619518693217,-1.245923404315836,-1.4056143224672182,10
No. 1_L_1.5 _200 _02-18-2025/0084.png,15.10846929212788,2.3503614534381825,-4.857660972310584,-2.669908628240932,-1.4578562062963352,0.5266435083792738,-4.432152983094866,0.8914162034376547,-1.1779229716658337,-1.525578567787966,10
No. 1_L_1.5 _200 _02-18-2025/0085.png,15.175183669713174,2.351826544559529,-5.046656381601738,-2.7594498359063278,-1.2622620137502212,0.4562102355170481,-4.420764422198934,0.8139542438730318,-1.338709888646285,-1.2347043759145482,10
No. 1_L_1.5 _200 _02-18-2025/0086.png,15.15216723012894,2.3507109762895446,-4.976132069535106,-2.583107101793129,-1.3986332831779924,0.4694985560513691,-4.5082671468822735,0.911552295996569,-1.2555644733434568,-1.4353749065598491,10
No. 1_L_1.5 _200 _02-18-2025/0087.png,15.140402422829991,2.366660731952233,-5.098881445815388,-2.6330128955822496,-1.3048846257267224,0.4016381510134685,-4.5114953966214415,1.0754971739081194,-1.2257070126840384,-1.352386223209987,10
No. 1_L_1.5 _200 _02-18-2025/0088.png,15.13044080084347,2.332247820597665,-4.9889034211375725,-2.646875396325009,-1.4016202375397713,0.527021006707761,-4.422002675956295,0.9902775521270656,-1.2199963781121002,-1.568305792195838,10
