,0,1,2,3,4,5,6,7,8,9
No. 1_L_1.5 _200 _02-18-2025/0048.png,-3.0840367381432054,3.66006132526346,-1.091726396963983,-3.027835680674202,-1.393896098896994,4.354539539085724,1.9940924746261193,1.4512614738530534,-1.0937018538130292,-1.1072125735938316
No. 1_L_1.5 _200 _02-18-2025/0049.png,-3.1769617838060116,3.7669307098281966,-1.086770725588421,-2.9730278803218706,-1.4645332851524864,4.352383670821769,1.8928235849975321,1.55090280486238,-1.1092234768670501,-1.1254789727964236
No. 1_L_1.5 _200 _02-18-2025/0050.png,-2.8821198495129448,3.5524693677917867,-1.1073028829932703,-3.1579573402823837,-1.5893947816045109,4.247220963023025,1.906579078513607,1.4740039528443454,-1.0587173430265533,-1.05554349621227
No. 1_L_1.5 _200 _02-18-2025/0051.png,-3.155549763454334,3.758262432738978,-1.3035805197081771,-2.9301699849840652,-1.4686729010116149,4.312463443935142,1.847270322294953,1.7089969764458512,-1.082990579763749,-1.0454967684909526
No. 1_L_1.5 _200 _02-18-2025/0052.png,-3.13316106915065,3.7759702340210612,-1.2600750601664803,-2.939975362246134,-1.4444746676040112,4.340658462517945,1.9385233144125402,1.5513708614687136,-1.1523242993554204,-1.0706421869486564
No. 1_L_1.5 _200 _02-18-2025/0053.png,-3.194476633228269,3.70769276418112,-1.036746390506412,-2.8792757043262034,-1.5909849353318317,4.399030809335935,1.9766562368745186,1.5672051018472715,-1.1024678557919347,-1.0120148095942794
No. 1_L_1.5 _200 _02-18-2025/0054.png,-2.9811926483646056,3.70421569057071,-1.1135133415133858,-3.059316638491384,-1.6367780959128395,4.33514577555383,1.8309674667041393,1.4979740527696244,-1.1671663071807237,-1.0913841283803851
No. 1_L_1.5 _200 _02-18-2025/0055.png,-3.226419145969654,3.5258125883238,-1.1289150472354983,-3.1129882346861493,-1.5117670105073926,4.393027614418649,1.9192084856700462,1.4576940859691092,-1.0452018412528943,-1.115685524201072
No. 1_L_1.5 _200 _02-18-2025/0056.png,-3.177180831042385,3.6796738134249067,-1.2820746301399986,-2.965106456712438,-1.605223462141343,4.462314002724671,1.9178749267358515,1.6683355868163456,-1.18309289165049,-1.0678852839160675
No. 1_L_1.5 _200 _02-18-2025/0057.png,-3.239205645189755,3.564756271978685,-1.2992566480446097,-3.0548234006433717,-1.6469924978323696,4.389348056980616,1.9947218384268521,1.594449349431235,-1.0910167021574535,-1.1247247709612491
